2016-09-01 00:00:00.000,1,143.46,47.82
2016-10-01 00:00:00.000,265,46490.66,148.53
2016-12-01 00:00:00.000,1,19.62,19.62
2017-01-01 00:00:00.000,750,127482.37,139.63
2017-02-01 00:00:00.000,1653,271239.32,145.98
2017-03-01 00:00:00.000,2546,414330.95,143.02
2017-04-01 00:00:00.000,2303,390812.4,152.13
2017-05-01 00:00:00.000,3546,566851.4,141.57
2017-06-01 00:00:00.000,3135,490050.37,140.46
2017-07-01 00:00:00.000,3872,566299.08,128.24
2017-08-01 00:00:00.000,4193,645832.36,134.63
2017-09-01 00:00:00.000,4150,701077.49,148
2017-10-01 00:00:00.000,4478,751117.01,144.06
2017-11-01 00:00:00.000,7289,1153364.2,136.09
2017-12-01 00:00:00.000,5513,843078.29,136.27
2018-01-01 00:00:00.000,7069,1077887.46,134.12
2018-02-01 00:00:00.000,6555,966168.41,128.51
2018-03-01 00:00:00.000,7003,1120598.24,139.78
2018-04-01 00:00:00.000,6798,1132878.93,144.74
2018-05-01 00:00:00.000,6749,1128774.52,144.53
2018-06-01 00:00:00.000,6099,1011978.29,144.36
2018-07-01 00:00:00.000,6159,1027807.28,147.61
2018-08-01 00:00:00.000,6351,985491.64,137.99
